ID,Source,Author(s),Year,Title,Spatial questions
222,"Landscape and Urban Planning 180, pp. 308-318",<MASKED>,2018,The use of urban spatial scenario design model as a strategic planning tool for Addis Ababa,What is the impact of low and high population densities on the green infrastructure of Addis Ababa?
223,"Landscape and Urban Planning 180, pp. 308-319",<MASKED>,2018,The use of urban spatial scenario design model as a strategic planning tool for Addis Ababa,Which future settlements might be located in flood-prone areas given increase in both population and population density in Addis Ababa?
224,"Journal of Urban Planning and Development 144(4),04018044",<MASKED>,2018,Accessibility to schools: Spatial and social imbalances and the impact of population density in four European cities,What is the accessibility of population to primary schools in Rotterdam?
225,"Journal of Urban Planning and Development 144(4),04018045",<MASKED>,2018,Accessibility to schools: Spatial and social imbalances and the impact of population density in four European cities,What is the population's minimum network-based distance to public primary schools in Rotterdam?
226,"Journal of Urban Planning and Development 144(4),04018046",<MASKED>,2018,Accessibility to schools: Spatial and social imbalances and the impact of population density in four European cities,How many choices do the population have in accessing primary schools in Rotterdam?
227,"Journal of Urban Planning and Development 144(4),04018047",<MASKED>,2018,Accessibility to schools: Spatial and social imbalances and the impact of population density in four European cities,What is the minimum network-based distance to primary schools for children aged between 4 and 12 in Rotterdam?
228,"Journal of Urban Planning and Development 144(4),04018048",<MASKED>,2018,Accessibility to schools: Spatial and social imbalances and the impact of population density in four European cities,What is the minimum network-based distance to primary schools for children aged between 4 and 12 in the peripheral area of Rotterdam?
229,"Journal of Urban Planning and Development 144(4),04018049",<MASKED>,2018,Accessibility to schools: Spatial and social imbalances and the impact of population density in four European cities,How optimal are primary schools distributed with respect to the population in Rotterdam?
230,"Research in Developmental Disabilities 83, pp. 108-119",<MASKED>,2018,Place and community inclusion: Locational patterns of supportive housing for people with intellectual disability and people with psychiatric disorders,To what extent are residential sites for people with intellectual disabilities and physical disabilities spatially dispersed in Pennsylvania?
231,"Research in Developmental Disabilities 83, pp. 108-120",<MASKED>,2018,Place and community inclusion: Locational patterns of supportive housing for people with intellectual disability and people with psychiatric disorders,Are residential sites for people with ID and people with PD located in neighborhoods of Pennsylvania with similar or different sociodemographic characteristics that affect community inclusion?
232,"Research in Developmental Disabilities 83, pp. 108-121",<MASKED>,2018,Place and community inclusion: Locational patterns of supportive housing for people with intellectual disability and people with psychiatric disorders,Are there urban-suburban differences in spatial clustering and neighborhood characteristics of residential sites of Pennsylvania for people with ID and people with PD?
233,"Science of the Total Environment 643, pp. 1248-1256",<MASKED>,2018,Dasymetric mapping of urban population in China based on radiance corrected DMSP-OLS nighttime light and land cover data,What is the urban population in China estimated from radiance corrected DMSP-OLS night-time light and land cover data?
234,"Scientific Reports 8(1),13383",<MASKED>,2018,Spatial-temporal dynamics of carbon emissions and carbon sinks in economically developed areas of China: a case study of Guangdong Province,"What are the spatio-temporal dynamics of carbon emissions and carbon sinks in Guangdong Province, South China?"
235,"Scientific Reports 8(1),13384",<MASKED>,2018,Spatial-temporal dynamics of carbon emissions and carbon sinks in economically developed areas of China: a case study of Guangdong Province,"How much do forest land and grassland contribute to vegetation carbon storage in Guangdong, South China?"
236,"Scientific Reports 8(1),13385",<MASKED>,2018,Spatial-temporal dynamics of carbon emissions and carbon sinks in economically developed areas of China: a case study of Guangdong Province,"What is annual direct carbon emission from paddy fields in Guangdong, South China?"
237,"Scientific Reports 8(1),13386",<MASKED>,2018,Spatial-temporal dynamics of carbon emissions and carbon sinks in economically developed areas of China: a case study of Guangdong Province,"What is annual indirect carbon emission from agricultural activities in Guangdong, South China?"
238,"Scientific Reports 8(1),13387",<MASKED>,2018,Spatial-temporal dynamics of carbon emissions and carbon sinks in economically developed areas of China: a case study of Guangdong Province,What is annual total carbon emission from the construction of built-up land?
239,"IOP Conference Series: Materials Science and Engineering 433(1),012036",<MASKED>,2018,Metro stations site selection in Karbala city using (GIS),"What are the sites suitable for metro stations in Karbala, Iraqi?"
240,"BMC Health Services Research 18(1),883",<MASKED>,2018,Using a GIS to support the spatial reorganization of of outpatient care service delivery in Italy,"What is the spatial access to outpatient services relative to the demand in Tuscany, Italy?"
241,"MATEC Web of Conferences 229,04018",<MASKED>,2018,Geographic information system-based spatial analysis of population distribution in Banten province - Indonesia,"What is the population density in the Banten province, in Indonesia based on IndoPop data?"
242,"Proceedings - 2018 International Conference on Virtual Reality and Intelligent Systems, ICVRIS 2018 8531369, pp. 143-146",<MASKED>,2018,Study on regional differences of population urbanization in yunnan province based on the analysis of census big data,"To what extent are there regional differences in population distribution in the Yunnan province, China?"
243,"IOP Conference Series: Earth and Environmental Science 98(1),012015",<MASKED>,2017,Multiscale Spatial Assessment of Determinant Factors of Land Use Change: Study at Urban Area of Yogyakarta,How did land-use change between 1993 and 2007 at the urban area of Yogyakarta in Indonesia?
244,"IOP Conference Series: Earth and Environmental Science 98(1),012016",<MASKED>,2017,Multiscale Spatial Assessment of Determinant Factors of Land Use Change: Study at Urban Area of Yogyakarta,Which are the determinant factors in the land-use change in the urban area of Yogyakarta in Indonesia?
245,"IOP Conference Series: Earth and Environmental Science 98(1),012017",<MASKED>,2017,Multiscale Spatial Assessment of Determinant Factors of Land Use Change: Study at Urban Area of Yogyakarta,What are the factors determining the area of land-use change in the urban area of Yogyakarta in Indonesia?
246,"IOP Conference Series: Earth and Environmental Science 98(1),012018",<MASKED>,2017,Multiscale Spatial Assessment of Determinant Factors of Land Use Change: Study at Urban Area of Yogyakarta,What are the factors determining the location of land-use change in the urban area of Yogyakarta in Indonesia?
247,"Geomatics, Natural Hazards and Risk 8(2), pp. 1440-1455",<MASKED>,2017,Fine scale population density data and its application in risk assessment,How can a population distribution be re-estimated at a higher scale?
248,"Revista de saude publica 51, pp. 127",<MASKED>,2017,Violence in public transportation: an approach based on spatial analysis,"What is the spatial probability distribution of robberies in buses in Salvador, Brazil?"
249,"Revista de saude publica 51, pp. 128",<MASKED>,2017,Violence in public transportation: an approach based on spatial analysis,"What are the factors determining the potential for the occurrence of robberies in buses in Salvador, Brazil?"
250,"Sustainability (Switzerland) 9(12),2238",<MASKED>,2017,Spatial analysis of the distribution of small businesses in the eastern villages of Gilan province with emphasis on the tourism sector in mountainous regions,"How are small touristic businesses spatially distributed in the Gilan province, Iran?"
251,"Social Science and Medicine 194, pp. 96-104",<MASKED>,2017,Determining geographic accessibility of family physician and nurse practitioner services in relation to the distribution of seniors within two Canadian Prairie Provinces,"What is the geographic accessibility to family physician and nurse practitioner services for seniors in Saskatchewan and Alberta, Canada?"
252,"Dili Xuebao/Acta Geographica Sinica 72(12), pp. 2214-2225",<MASKED>,2017,Space-time flexibility of daily activities and gender differences: A case study of Beijing,To what extent are there differences in spatial-temporal fixity and flexibility between different types of residential communities in Beijing suburbs?
253,"Dili Xuebao/Acta Geographica Sinica 72(12), pp. 2310-2324",<MASKED>,2017,"Suitability evaluation of gridded population distribution: A case study in rural area of Xuanzhou District, China",How can grid size be evaluated for suitability for grid-based population data?
254,"Crime and Delinquency 63(13), pp. 1757-1776",<MASKED>,2017,An Investigation of the Influence of the Spatial Distribution of Neighborhood Violent Crime on Fear of Crime,"What is the influence of the spatial distribution of neighborhood violent crime on fear of crime in East Baton Rouge Parish, US?"
255,"Remote Sensing of Environment 202, pp. 210-221",<MASKED>,2017,Using multi-source geospatial big data to identify the structure of polycentric cities,How can the main center and sub-centers of a polycentric city be identified based on nighttime light imagery and social media data?
256,"ISPRS Journal of Photogrammetry and Remote Sensing 134, pp. 30-42",<MASKED>,2017,Breaking new ground in mapping human settlements from space – The Global Urban Footprint,How can human settlements be identified using remote sensing on a global scale?
257,"Social Science and Medicine 170, pp. 35-45",<MASKED>,2016,"Assessing spatial access to public and private hospitals in Sichuan, China: The influence of the private sector on the healthcare geography in China","What is the spatial access to private and public hospitals in West Sichuan and East Sichuan, China?"
258,"Environmental Monitoring and Assessment 188(12),677",<MASKED>,2016,"An assessment of site suitability for marina construction in Istanbul, Turkey, using GIS and AHP multicriteria decision analysis",Where are the sites that are most suitable for marina construction in Istanbul’s Marmara Sea shoreline?
259,"Transportation Research Procedia 19, pp. 207-214",<MASKED>,2016,Improving Parking Availability Maps using Information from Nearby Roads,"How can parking availability be estimated for unobserved road segments based on sensor data from observed road segments in San Francisco, US?"
260,"Journal of Advanced Transportation 50(8), pp. 1785-1801",<MASKED>,2016,Modeling access to public transport in urban areas,"What is the spatial accessibility to public buses, trams, and trains from points of interests in Melbourne, Australia?"
261,"PLoS ONE 11(12),e0165753",<MASKED>,2016,Uncovering urban temporal patterns from geo-tagged photography,What are the urban temporal patterns of individuals in big cities based upon geo-tagged photography?
262,"Science of the Total Environment 572, pp. 450-466",<MASKED>,2016,Impacts of land use and population density on seasonal surface water quality using a modified geographically weighted regression,What are the impact of land use and population density on seasonal surface water quality in the Wen-Rui Tang River watershed in China?
263,"Journal of Geographical Sciences 26(12), pp. 1689-1706",<MASKED>,2016,Reconstructing the historical spatial land use pattern for Jiangsu Province in mid-Qing Dynasty,What was the historical spatial land use pattern for Jiangsu Province during the mid-Qing Dynasty in China?
264,"Accident Analysis and Prevention 97, pp. 28-37",<MASKED>,2016,Evaluating the impact of bike network indicators on cyclist safety using macro-level collision prediction models,"How do connectivity, directness, and topology of a network affect the risk of cyclist-vehicle collision in Vancouver, Canada?"
265,"Environmental Health Perspectives 124(12), pp. 1863-1869",<MASKED>,2016,"Urbanization level and vulnerability to heat-related mortality in Jiangsu Province, China",How does heat-related mortality risk differ between urban and non-urban areas of Jiangsu province in China?
266,"Journal of Urban Planning and Development 143(3),08217001",<MASKED>,2016,Improvement and application of the sectoral enterprises geographic clustering model and its formed urban structure,"How are economic activities clustered within the metropolitan area of Shenyang, China?"
267,"International Journal of Health Geographics 14(1),37",<MASKED>,2015,Identifying food deserts and swamps based on relative healthy food access: A spatio-temporal Bayesian approach,"What are the spatiotemporal patterns of relative healthy food access in the Region of Waterloo, Canada, from 2011 to 2014?"
268,"International Journal of Health Geographics 14(1),35",<MASKED>,2015,Assessing opportunities for physical activity in the built environment of children: Interrelation between kernel density and neighborhood scale,Which factors of the built environment influence the habitual physical activity of children in Delmenhorst?
269,"International Journal of Environmental Research and Public Health 12(12), pp. 16110-16123",<MASKED>,2015,A spatial framework to map heat health risks at multiple scales,"How to predict and map heat risk hotspots at multiple spatial scales in the greater Vancouver area, British Columbia, Canada?"
270,"2015 3rd International Istanbul Smart Grid Congress and Fair, ICSG 2015 7354927",<MASKED>,2015,Planning of parking places on transportation infrastructure by geographic information techniques,How to determine the best location of parking depending on parking demand and supply balance in Istanbul Metropolitan Municipality?
271,"Energy for Sustainable Development 29, pp. 142-150",<MASKED>,2015,A GIS-based approach for electrification planning-A case study on Nigeria,How can a GIS-based approach be developed for electrification planning in Nigeria?
272,"Transportation Research Part D: Transport and Environment 41, pp. 318-329",<MASKED>,2015,Residential built environment and walking activity: Empirical evidence of Jane Jacobs' urban vitality,"What is the relationship between the walking activity of a population and the built environment of a residential neighborhood of Seoul, South Korea?"
273,"Social Science and Medicine 147, pp. 300-308",<MASKED>,2015,"An individual-based rurality measure and its health application: A case study of Latino immigrants in North Florida, USA","How can individual-based rurality be measured in Levy, Lafayette and Suwannee counties of the US based on individual's activity space and rurality degree of places?"
274,"Case Studies on Transport Policy 3(4), pp. 392-401",<MASKED>,2015,A methodology to assess the connectivity caused by a transportation infrastructure: Application to the high-speed rail in Extremadura,What is the accessibility of the population to the high-speed rail in the Extremadura region of Spain?
275,"Science of the Total Environment 536, pp. 173-181",<MASKED>,2015,"Changes in land use, climate and the environment during a period of rapid economic development in Jiangsu Province, China","What are the changes in the environment, climate, land use and land cover types for Jiangsu Province of China between 1980-2012?"
276,"BMC Health Services Research 15(1),493",<MASKED>,2015,Barriers in physical access to maternal health services in rural Ethiopia,"What are the risk factors associated with physical access to health facilities among women of reproductive age in Dabat district, Ethiopia?"
277,"BMC Public Health 14(1),1322",<MASKED>,2014,Spatial clustering of physical activity and obesity in relation to built environment factors among older women in three U.S. states,"How do built environment and socio-demographic factors and health-related factors differ inside and outside of spatial clusters of obesity and physical activity in California, Massachusetts, and Pennsylvania states of US?"
278,"Journal of Transport Geography 41, pp. 184-196",<MASKED>,2014,Assessing High-Speed Rail's impacts on land cover change in large urban areas based on spatial mixed logit methods: A case study of Madrid Atocha railway station from 1990 to 2006,"What is the impact of High-Speed Rail on land cover change in the area of Atocha railway station in Madrid, Spain, between 1990 and 2006?"
279,"Journal of Travel Research 53(6), pp. 791-804",<MASKED>,2014,National Tourism Policy and Spatial Patterns of Domestic Tourism in South Korea,How did the spatial distribution of domestic tourism in South Korea change between 1989 and 2011?
280,"Journal of Travel Research 53(6), pp. 791-805",<MASKED>,2014,National Tourism Policy and Spatial Patterns of Domestic Tourism in South Korea,How did the hotspots of domestic tourism activity in South Korea change between 1989 and 2011?
281,"Journal of Travel Research 53(6), pp. 791-806",<MASKED>,2014,National Tourism Policy and Spatial Patterns of Domestic Tourism in South Korea,How did national tourism policies between 1989 and 2011 affect distribution of domestic tourism in South Korea?
282,"PLoS ONE 9(11),e111705",<MASKED>,2014,The effect of geographical proximity on scientific cooperation among Chinese cities from 1990 to 2010,What is the effect of geographic proximity on scientific cooperation among Chinese cities from 1990 to 2010?
283,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing 7(11),6732940, pp. 4490-4504",<MASKED>,2014,Mapping irrigated areas in China from remote sensing and statistical data,How can irrigated areas in China be mapped given irrigation potential indices per raster cells?
284,"Social Science and Medicine 119, pp. 64-73",<MASKED>,2014,Assessing patterns of spatial behavior in health studies: Their socio-demographic determinants and associations with transportation modes (the RECORD Cohort Study),How are socio-demographic characteristics and transportation modes associated with topology of daily mobility patterns?
285,"Health and Place 29, pp. 1-9",<MASKED>,2014,"""The Glasgow effect?""- The result of the geographical patterning of deprived areas?","What is the effect of the distribution of deprived neighborhoods on mortality in Glasgow, Liverpool, and Manchester, England?"
286,"Health and Place 29, pp. 1-10",<MASKED>,2014,"""The Glasgow effect?""- The result of the geographical patterning of deprived areas?","How do mortality and spatial patterning of deprivation in Glasgow, England, compare to mortality and spatial patterning of deprivation in Liverpool and Manchester, England?"
287,"Advances in life course research 21, pp. 168-182",<MASKED>,2014,"Residential context, migration and fertility in a modern urban society",To what extent are variations in fertility explained by residential context in Britain?
288,"Advances in life course research 21, pp. 168-183",<MASKED>,2014,"Residential context, migration and fertility in a modern urban society",How does fertility vary between central cities and suburban areas in Britain?
289,"Advances in life course research 21, pp. 168-184",<MASKED>,2014,"Residential context, migration and fertility in a modern urban society",How does fertility vary with residential area size and population density in Britain?
290,"Advances in life course research 21, pp. 168-185",<MASKED>,2014,"Residential context, migration and fertility in a modern urban society",To what extent do socioeconomic characteristics of couples and selective migrations explain fertility variations between various residential contexts?
291,"Urban Geography 35(4), pp. 608-628",<MASKED>,2014,Urban and rural geographies of aging: A local spatial correlation analysis of aging population measures,What is the spatial distribution of aging populations in the Aichi Prefecture in Japan?
292,"Urban Geography 35(4), pp. 608-629",<MASKED>,2014,Urban and rural geographies of aging: A local spatial correlation analysis of aging population measures,"What is the aging population ratio at different areal units in the Aichi prefecture, Japan?"
293,"Urban Geography 35(4), pp. 608-630",<MASKED>,2014,Urban and rural geographies of aging: A local spatial correlation analysis of aging population measures,"What is the aging population density at different areal units in the Aichi prefecture, Japan?"
294,"Urban Geography 35(4), pp. 608-631",<MASKED>,2014,Urban and rural geographies of aging: A local spatial correlation analysis of aging population measures,"What is the correlation between the aging population ratio and the aging population density in the Aichi prefecture, Japan?"
295,"Transportation 41(2), pp. 325-338",<MASKED>,2014,"Examining the relationship between active travel, weather, and the built environment: a multilevel approach using a GPS-enhanced dataset","How does the built environment and weather conditions influence the use of walking as a mode of transport in Halifax Regional Municipality, Nova Scotia, Canada?"
296,"Transportation 41(2), pp. 325-339",<MASKED>,2014,"Examining the relationship between active travel, weather, and the built environment: a multilevel approach using a GPS-enhanced dataset","To what extent do average temperature, total precipitation, and maximum wind speed impact walking behavior in Halifax Regional Municipality, Nova Scotia, Canada?"
297,"Transportation 41(2), pp. 325-340",<MASKED>,2014,"Examining the relationship between active travel, weather, and the built environment: a multilevel approach using a GPS-enhanced dataset","What is the ratio of sidewalk length to road length at the census tract level in Halifax Regional Municipality, Nova Scotia, Canada?"
298,"Transportation 41(2), pp. 325-341",<MASKED>,2014,"Examining the relationship between active travel, weather, and the built environment: a multilevel approach using a GPS-enhanced dataset","What is the retail floor area ratio at the census tract level in Halifax Regional Municipality, Nova Scotia, Canada?"
299,"Transportation 41(2), pp. 325-342",<MASKED>,2014,"Examining the relationship between active travel, weather, and the built environment: a multilevel approach using a GPS-enhanced dataset","What is the number of people living in a census tract per square km of land in Halifax Regional Municipality, Nova Scotia, Canada?"
300,"Transportation 41(2), pp. 325-343",<MASKED>,2014,"Examining the relationship between active travel, weather, and the built environment: a multilevel approach using a GPS-enhanced dataset","What is the ratio of the number of four-way intersections to all intersections in Halifax Regional Municipality, Nova Scotia, Canada?"
301,"Proceedings - International Conference on Management and Service Science, MASS 2009 5301972",<MASKED>,2009,Study on spatial structure of retailing based on GIS in Wuhan city,"What is the spatial structure of retailing businesses in Wuhan city, China?"
302,"BMC Health Services Research 9,200",<MASKED>,2009,Comparison of distance measures in spatial analytical modeling for health service planning,What are the road distances and travel times from residences of cardiac catheterization patients to Foothills Medical Center calculated with the Minkowski metric applied on Calgary road network in Canada?
303,"Obesity 17(12), pp. 2202-2209",<MASKED>,2009,Are obesity and physical activity clustered a spatial analysis linked to residential density,"Are there significant patterns of clustering of obesity and moderate physical activity in the neighborhoods of Metro Vancouver, Canada?"
304,"Obesity 17(12), pp. 2202-2210",<MASKED>,2009,Are obesity and physical activity clustered a spatial analysis linked to residential density,"Is there an association between obesity and moderate physical activity and the built urban environment in the neighborhoods of Metro Vancouver, Canada?"
305,"Social Science Research 38(2), pp. 458-476",<MASKED>,2009,Effects of household and neighborhood characteristics on children's exposure to neighborhood poverty and affluence,What is the effect of household and neighborhood characteristics on children's exposure to neighborhood poverty and affluence in US?
306,"Urban Studies 46(7), pp. 1299-1315",<MASKED>,2009,"A spatial statistical approach to identifying areas with poor access to grocery foods in the City of Buffalo, New York","What is the accessibility of affordable grocery foods for low-income residents in Buffalo, US?"
307,"Proceedings of the 2nd International Conference on Transportation Engineering, ICTE 2009 pp. 699-704",<MASKED>,2009,Application of spatial statistic analysis in traffic bottlenecks,"Which road sections in Shenzhen city, China, are potential traffic bottlenecks?"
308,"Journal of Biosocial Science 41(2), pp. 249-267",<MASKED>,2009,Examining the geographical heterogeneity associated with risk of mistimed and unwanted pregnancy in Ghana,"What is the level of geographical heterogeneity in the risk of mistimed and unwanted pregnancies between rural and urban communities of Savannah, Forest and Coastal ecological zones in Ghana?"
309,"Transportation Planning and Technology 32(5), pp. 423-439",<MASKED>,2009,GIS-based travel demand modeling for estimating traffic on low-class roads,"What are the traffic volumes on low-class roads in areas of York County and Beresford in New Brunswick, Canada?"
310,"Accident Analysis and Prevention 41(1), pp. 137-145",<MASKED>,2009,An area-level model of vehicle-pedestrian injury collisions with implications for land use and transportation planning,"How well can built environment, population characteristics, and travel behavior predict vehicle-pedestrian collisions in San Francisco, US?"
311,"Transportation Research Record (2133), pp. 33-45",<MASKED>,2009,"Intrametropolitan location of business establishments: Microanalytical model for Hamilton, Ontario, Canada","Which factors influence the location choice of business establishments in the city of Hamilton, Canada?"
312,"Teachers College Record 115(6),060307",<MASKED>,2013,"City lines, county lines, color lines: The relationship between school and housing segregation in four southern metro areas","How have district boundary lines and school desegregation policy impacted metropolitan school and housing integration levels over the past two decades on the South of US (Richmond Metro, Louisville-Jefferson County, Charlotte-Mecklenburg County, Chattanooga-Hamilton County)?"
313,"Teachers College Record 115(6),060308",<MASKED>,2013,"City lines, county lines, color lines: The relationship between school and housing segregation in four southern metro areas",How have district boundary lines and school desegregation policy impacted metropolitan school and housing integration levels on the South of US between the years 1990 and 2010 ?
314,"Teachers College Record 115(6),060309",<MASKED>,2013,"City lines, county lines, color lines: The relationship between school and housing segregation in four southern metro areas",What are the spatial trends of school and housing segregation on the South of US between 1990 and 2010?
315,"Teachers College Record 115(6),060310",<MASKED>,2013,"City lines, county lines, color lines: The relationship between school and housing segregation in four southern metro areas",Is there racial isolation for black residents on the South of US between 1990 and 2010?
316,"Teachers College Record 115(6),060310",<MASKED>,2013,"City lines, county lines, color lines: The relationship between school and housing segregation in four southern metro areas","What is the difference between the racial composition in elementary school and in census block groups on the South of US in 1990, 2010, 2010?"
317,"American Journal of Education 115(4), pp. 569-600",<MASKED>,2009,Mapping school segregation: Using GIS to explore racial segregation between schools and their corresponding attendance areas,"Does the presence of non-neighborhood schools (private, charter, and magnet schools) affect racial segregation in public schools in US?"
318,"American Journal of Education 115(4), pp. 569-600",<MASKED>,2009,Mapping school segregation: Using GIS to explore racial segregation between schools and their corresponding attendance areas,How does racial segregation differ between public neighborhood schools and their catchment areas in US?
319,"Tourism Economics 19(6), pp. 1293-1317",<MASKED>,2013,Using business registers to conduct a regional analysis of enterprise demography and employment in the tourism industries: Learning from the Irish experience,Which countries are more dependent on tourism industries?
320,International Conference on Geoinformatics 6626156,<MASKED>,2013,"Combining HHM and MCA with GIS for planning urban land-use of Shanghai, China",How to plan urban land use of Shanghai to minimize ecological heterogeneity using GIS?
321,International Conference on Geoinformatics 6626156,<MASKED>,2013,"Combining HHM and MCA with GIS for planning urban land-use of Shanghai, China",Where is the residential area located in Shanghai?
322,International Conference on Geoinformatics 6626156,<MASKED>,2013,"Combining HHM and MCA with GIS for planning urban land-use of Shanghai, China",Where are the nature reserves and forest areas in Shanghai?
323,International Conference on Geoinformatics 6626156,<MASKED>,2013,"Combining HHM and MCA with GIS for planning urban land-use of Shanghai, China",Where are the industry areas located in Shanghai?
324,International Conference on Geoinformatics 6626157,<MASKED>,2013,"Combining HHM and MCA with GIS for planning urban land-use of Shanghai, China",What is the spatial distribution pattern of heterogeneous ecological conditions of Shanghai?
325,"Landscape Research 38(6), pp. 799-817",<MASKED>,2013,Intersecting Dynamics of Agricultural Structural Change and Urbanisation within European Rural Landscapes: Change Patterns and Policy Implications,What trends are there in agricultural and urban change in European rural areas?
326,"Landscape Research 38(6), pp. 799-818",<MASKED>,2013,Intersecting Dynamics of Agricultural Structural Change and Urbanisation within European Rural Landscapes: Change Patterns and Policy Implications,What are the effects on rural landscapes of agricultural structural changes and counter-urbanization in Denmark?
327,"Przeglad Geograficzny 85(3), pp. 373-396",<MASKED>,2013,The depopulated villages in the Sudetes. And what next?,Where are the highly-depopulated or vanished villages in Poland?
328,"Social Science and Medicine 96, pp. 60-68",<MASKED>,2013,A geographical perspective on access to sexual and reproductive health care for women in rural Africa,How to measure and evaluate access to sexual and reproductive health services in rural Mozambique?
329,"Social Science and Medicine 96, pp. 60-68",<MASKED>,2013,A geographical perspective on access to sexual and reproductive health care for women in rural Africa,What is the accessibility of sexual and reproductive health (SRH) services in rural Mozambique?
330,"Social Science and Medicine 96, pp. 60-68",<MASKED>,2013,A geographical perspective on access to sexual and reproductive health care for women in rural Africa,"What is the spatial distribution of respondents’ residences, health service units, and towns (district centers) in four districts of Chibuto, Chokwè, Guíjà and Mandlakaze?"
331,"Social Science and Medicine 96, pp. 60-68",<MASKED>,2013,A geographical perspective on access to sexual and reproductive health care for women in rural Africa,"Where are the clinics with lower service quality in four districts of Chibuto, Chokwè, Guíjà and Mandlakaze?"
332,"Social Science and Medicine 96, pp. 60-68",<MASKED>,2013,A geographical perspective on access to sexual and reproductive health care for women in rural Africa,"Where are the less accessible sexual and reproductive health services in four districts of Chibuto, Chokwè, Guíjà and Mandlakaze?"
333,"International Journal of Sustainable Development and World Ecology 20(5), pp. 461-475",<MASKED>,2013,Landscape indicators for the evaluation of tourist landscape structure,Which landscape indicators can be used for the evaluation of tourist landscape structure?
334,"International Journal of Sustainable Development and World Ecology 20(5), pp. 461-475",<MASKED>,2013,Landscape indicators for the evaluation of tourist landscape structure,"What is the long-term spatio-temporal landscape change in Kos Island, Greece?"
335,"International Journal of Sustainable Development and World Ecology 20(5), pp. 461-475",<MASKED>,2013,Landscape indicators for the evaluation of tourist landscape structure,"What are the changes of landuse categories distribution in the district of Kefalos for the years 1981, 1995 and 2002?"
336,"International Journal of Sustainable Development and World Ecology 20(5), pp. 461-475",<MASKED>,2013,Landscape indicators for the evaluation of tourist landscape structure,What are the changes in transport networks in the district of Kefalos from 1995 to 2002?
337,"International Journal of Sustainable Development and World Ecology 20(5), pp. 461-475",<MASKED>,2013,Landscape indicators for the evaluation of tourist landscape structure,What are the changes in visibility in the district of Kefalos from 1995 to 2002?
338,"International Migration Review 47(3), pp. 730-772",<MASKED>,2013,"Ethnic concentration and nonprofit organizations: The political and urban geography of immigrant services in Boston, Massachusetts",What is the geographic distribution of nonprofit organizations serving immigrants across municipalities within the Greater Boston area?
339,"International Migration Review 47(3), pp. 730-772",<MASKED>,2013,"Ethnic concentration and nonprofit organizations: The political and urban geography of immigrant services in Boston, Massachusetts",Where are the high immigration municipalities in the Greater Boston area in 2000?
340,"International Migration Review 47(3), pp. 730-772",<MASKED>,2013,"Ethnic concentration and nonprofit organizations: The political and urban geography of immigrant services in Boston, Massachusetts",What is the ethnic settlement pattern in the Greater Boston area in 2000?
341,"Computers, Environment and Urban Systems 41, pp. 332-341",<MASKED>,2013,Analyzing urban population data using generalized gamma model and wave-spectrum relation: A case study of Kaohsiung,What are the relationships between population and urban growth by analyzing changes in urban form that are characterized by fractal dimensions?
342,"Computers, Environment and Urban Systems 41, pp. 332-341",<MASKED>,2013,Analyzing urban population data using generalized gamma model and wave-spectrum relation: A case study of Kaohsiung,"What are the relationships between population and urban growth in Kaohsiung, Taiwan, from 1980 to 2010?"
343,"Computers, Environment and Urban Systems 41, pp. 332-341",<MASKED>,2013,Analyzing urban population data using generalized gamma model and wave-spectrum relation: A case study of Kaohsiung,What is the spatial-temporal pattern of urban growth in Kaohsiung from 1980 to 2010?
344,"Area 45(3), pp. 337-347",<MASKED>,2013,"Changes in rural-urban sex ratio differences in the young professional age group as an indicator of social sustainability in rural areas: A case study of continental Spain, 2000-2010",How are the changes in rural-urban sex ratio differences in the young professional age group an indicator of social sustainability in rural areas?
345,"Area 45(3), pp. 337-347",<MASKED>,2013,"Changes in rural-urban sex ratio differences in the young professional age group as an indicator of social sustainability in rural areas: A case study of continental Spain, 2000-2010",How does the rural-urban sex ratio change in the 30-39-year-old group between 2000 and 2010 in Spain?
346,"2012 6th International Association for China Planning Conference, IACP 2012 6342993",<MASKED>,2012,Optimized selection of landfill sites in Houston area using geographical information system,Where are the best locations for the future landfill sites in the Houston-Galveston area?
347,"2012 6th International Association for China Planning Conference, IACP 2012 6342993",<MASKED>,2012,Optimized selection of landfill sites in Houston area using geographical information system,Where are the water resources in the Houston-Galveston area?
348,"2012 6th International Association for China Planning Conference, IACP 2012 6342993",<MASKED>,2012,Optimized selection of landfill sites in Houston area using geographical information system,Where are the hurricane and flooding areas in the past in the Houston-Galveston area?
349,"2012 6th International Association for China Planning Conference, IACP 2012 6342993",<MASKED>,2012,Optimized selection of landfill sites in Houston area using geographical information system,"Where are the important geographic features like schools, hospitals, museums in the Houston-Galveston area?"
350,"2012 6th International Association for China Planning Conference, IACP 2012 6342993",<MASKED>,2012,Optimized selection of landfill sites in Houston area using geographical information system,What areas are within half-mile distance from major highways in the Houston-Galveston area?
351,"CICTP 2012: Multimodal Transportation Systems - Convenient, Safe, Cost-Effective, Efficient - Proceedings of the 12th COTA International Conference of Transportation Professionals pp. 3352-3363",<MASKED>,2012,Travel behavior analysis for activity-based travel demand modeling: A case study of tampa bay region,What is the travel behavior of individuals in the Tampa Bay region?
